	est.beta	est.upper	est.lower	alpha	beta
1	10.6260657951879	10.7993699339376	10.4527616564383	-6	paste(beta[1])
2	2.05391262462502	2.21254489231331	1.89528035693674	-6	paste(beta[2])
3	-1.40394261195321	-1.18014864013009	-1.62773658377633	-6	paste(beta[3])
4	-0.156992747305618	0.0237785265603983	-0.337764021171634	-6	paste(beta[4])
5	6.68510929060055	6.97050863462561	6.39970994657549	-6	paste(beta[5])
6	0.00800172949599609	0.0312138920941667	-0.0152104331021745	-6	paste(beta[6])
7	-0.0925036997222177	-0.0662257977011729	-0.118781601743263	-6	paste(beta[7])
8	-0.0508799189389312	-0.0174219991465573	-0.084337838731305	-6	paste(beta[8])
9	10.600770147951	10.7780666618882	10.4234736340137	-4	paste(beta[1])
10	2.0086282210653	2.25739862560642	1.75985781652418	-4	paste(beta[2])
11	-1.39247191651226	-1.15439140321567	-1.63055242980884	-4	paste(beta[3])
12	-0.108034072603537	0.0702283861242918	-0.286296531331367	-4	paste(beta[4])
13	6.6202054569794	6.91561610933052	6.32479480462827	-4	paste(beta[5])
14	0.0063322818683299	0.0304355795472514	-0.0177710158105916	-4	paste(beta[6])
15	-0.094706345554917	-0.0605571047214378	-0.128855586388396	-4	paste(beta[7])
16	-0.0468991088214576	-0.0148323677203085	-0.0789658499226068	-4	paste(beta[8])
17	10.6075430992179	10.7827107395573	10.4323754588786	-2	paste(beta[1])
18	2.07613541017818	2.30531744864054	1.84695337171581	-2	paste(beta[2])
19	-1.47154963431722	-1.24201762640198	-1.70108164223247	-2	paste(beta[3])
20	-0.114676336336743	0.0624687265803523	-0.291821399253838	-2	paste(beta[4])
21	6.54312832672897	6.83308958371082	6.25316706974712	-2	paste(beta[5])
22	0.001834142702938	0.0277944911381872	-0.0241262057323112	-2	paste(beta[6])
23	-0.0894334886352132	-0.0540734383270702	-0.124793538943356	-2	paste(beta[7])
24	-0.0515058621564829	-0.0163464805937584	-0.0866652437192074	-2	paste(beta[8])
25	10.6298830906277	10.8028042116715	10.4569619695838	-1	paste(beta[1])
26	2.08891860755544	2.33445268810427	1.84338452700662	-1	paste(beta[2])
27	-1.45353160383939	-1.21869319856026	-1.68837000911852	-1	paste(beta[3])
28	-0.123091203927733	0.0592493810293916	-0.305431788884858	-1	paste(beta[4])
29	6.55555213854177	6.84543813553599	6.26566614154755	-1	paste(beta[5])
30	0.00258712432938515	0.0294917728621103	-0.02431752420334	-1	paste(beta[6])
31	-0.0932043144112673	-0.0567375308612497	-0.129671097961285	-1	paste(beta[7])
32	-0.0499472042462322	-0.0151376138091987	-0.0847567946832657	-1	paste(beta[8])
33	10.644554678317	10.8204149500952	10.4686944065388	-0.5	paste(beta[1])
34	2.13485668758141	2.36552555996436	1.90418781519846	-0.5	paste(beta[2])
35	-1.4832640276263	-1.25197633967764	-1.71455171557497	-0.5	paste(beta[3])
