	est.beta	est.upper	est.lower	alpha	beta
72	-0.660936174	-0.121235166	-1.20063718	-1.00E+00	paste(beta[8])
73	10.50166759	10.79130323	10.21203196	-2.00E+00	paste(beta[1])
74	2.063903791	2.209110229	1.91869735	-2.00E+00	paste(beta[2])
75	-0.537111964	-0.155394626	-0.9188293	-2.00E+00	paste(beta[3])
76	0.057875932	0.465978626	-0.35022676	-2.00E+00	paste(beta[4])
77	5.936165076	6.348539626	5.52379053	-2.00E+00	paste(beta[5])
78	-0.015094698	-0.003078345	-0.02711105	-2.00E+00	paste(beta[6])
79	-2.675676387	-2.157493001	-3.19385977	-2.00E+00	paste(beta[7])
80	-0.661148398	-0.123414185	-1.19888261	-2.00E+00	paste(beta[8])
81	10.48638397	10.77684794	10.19592	-4.00E+00	paste(beta[1])
82	2.084342214	2.231342753	1.93734167	-4.00E+00	paste(beta[2])
83	-0.557078668	-0.171219217	-0.94293812	-4.00E+00	paste(beta[3])
84	0.023829004	0.431912842	-0.38425483	-4.00E+00	paste(beta[4])
85	5.946840209	6.36063805	5.53304237	-4.00E+00	paste(beta[5])
86	-0.015767575	-0.003691459	-0.02784369	-4.00E+00	paste(beta[6])
87	-2.654538822	-2.136858064	-3.17221958	-4.00E+00	paste(beta[7])
88	-0.665317431	-0.127699585	-1.20293528	-4.00E+00	paste(beta[8])
89	10.48062566	10.76999166	10.19125965	-6.00E+00	paste(beta[1])
90	2.088460148	2.234319586	1.94260071	-6.00E+00	paste(beta[2])
91	-0.563791271	-0.185036171	-0.94254637	-6.00E+00	paste(beta[3])
92	0.001948603	0.408692672	-0.40479547	-6.00E+00	paste(beta[4])
93	5.942606456	6.354020259	5.53119265	-6.00E+00	paste(beta[5])
94	-0.014994752	-0.00372616	-0.02626334	-6.00E+00	paste(beta[6])
95	-2.66899197	-2.151413322	-3.18657062	-6.00E+00	paste(beta[7])
96	-0.6644009	-0.127574064	-1.20122774	-6.00E+00	paste(beta[8])
97	10.4872176	10.77711469	10.1973205	1.00E-04	paste(beta[1])
98	2.096821689	2.243388393	1.95025499	1.00E-04	paste(beta[2])
99	-0.593458356	-0.210518228	-0.97639848	1.00E-04	paste(beta[3])
100	-0.008472316	0.39823386	-0.41517849	1.00E-04	paste(beta[4])
101	5.94670015	6.360377505	5.5330228	1.00E-04	paste(beta[5])
102	-0.015917209	-0.00376575	-0.02806867	1.00E-04	paste(beta[6])
103	-2.662483851	-2.144014688	-3.18095301	1.00E-04	paste(beta[7])
104	-0.636966703	-0.099057523	-1.17487588	1.00E-04	paste(beta[8])
105	10.50699116	10.79608168	10.21790063	5.00E-04	paste(beta[1])
106	2.067673914	2.212978953	1.92236887	5.00E-04	paste(beta[2])
107	-0.510443983	-0.13134726	-0.88954071	5.00E-04	paste(beta[3])
108	-0.009690129	0.397517308	-0.41689757	5.00E-04	paste(beta[4])
109	5.947135714	6.362781001	5.53149043	5.00E-04	paste(beta[5])
110	-0.015686685	-0.00349881	-0.02787456	5.00E-04	paste(beta[6])
111	-2.664272531	-2.143912566	-3.1846325	5.00E-04	paste(beta[7])
112	-0.636296324	-0.096607958	-1.17598469	5.00E-04	paste(beta[8])
113	10.49375013	10.78472368	10.20277657	1.00E-03	paste(beta[1])
